name,lat,lon,capacity,inventory_pigs,avg_weight_kg,growth_rate_kg_per_week,age_weeks,price_per_kg,consumption_pigs
Granja Sitges,41.2374,1.8050,1100,780,52.5,58.0,8,3.42,750
Granja Premià de Mar,41.4928,2.3549,1350,950,45.0,62.5,6,3.48,920
Granja Castelldefels,41.2814,1.9779,950,680,56.0,55.0,9,3.44,650
Granja Mollet del Vallès,41.5394,2.2136,1600,1200,48.5,65.0,7,3.46,1150
Granja Cerdanyola del Vallès,41.4909,2.1406,1250,890,53.0,59.5,8,3.43,860
Granja Sant Feliu de Llobregat,41.3843,2.0450,1450,1050,42.0,68.0,6,3.50,1020
Granja Montcada i Reixac,41.4836,2.1839,1050,750,58.5,52.5,10,3.41,720
Granja Esplugues de Llobregat,41.3769,2.0886,900,640,46.5,63.0,7,3.47,610
Granja Sant Adrià de Besòs,41.4305,2.2208,1150,820,54.0,57.0,9,3.45,800
Granja Santa Coloma de Gramenet,41.4517,2.2089,1300,930,49.0,64.5,7,3.49,900
Granja Gavà,41.3058,2.0028,1400,1000,55.5,56.5,9,3.42,970
Granja Viladecans,41.3147,2.0139,1550,1120,43.5,67.0,6,3.48,1080
Granja Sant Boi de Llobregat,41.3447,2.0350,1200,860,57.0,54.0,9,3.44,830
Granja Martorell,41.4739,1.9267,1650,1180,50.5,61.0,8,3.46,1140
Granja Vilassar de Mar,41.5050,2.3911,850,610,44.0,66.5,6,3.49,590
Granja Arenys de Mar,41.5786,2.5481,780,560,59.0,51.5,10,3.40,540
Granja Canet de Mar,41.5900,2.5803,920,660,47.5,62.0,7,3.47,640
Granja Pineda de Mar,41.6253,2.6850,1050,750,54.5,58.5,8,3.43,730
Granja Tordera,41.7011,2.7167,1100,790,41.5,69.0,6,3.50,760
Granja Cardedeu,41.6392,2.3544,950,680,56.5,55.5,9,3.44,660
