slaughterhouse_id,name,lat,lon,capacity_per_day,current_load
SH001,Escorxador Central de Barcelona,41.3851,2.1734,500,0
SH002,Matadero de Badalona,41.4502,2.2445,300,0
SH003,Escorxador de l'Hospitalet,41.3599,2.1109,400,0
SH004,Matadero de Cornellà,41.3561,2.0741,350,0
SH005,Escorxador de El Prat,41.3256,2.0956,250,0
SH006,Matadero de Rubí,41.4926,2.0362,200,0
SH007,Escorxador de Vilanova i la Geltrú,41.2236,1.7256,220,0
SH008,Matadero de Calella,41.6117,2.6597,180,0
SH009,Escorxador de Blanes,41.6752,2.7905,160,0
SH010,Matadero de Salou,41.0765,1.1395,190,0
SH011,Escorxador de Cambrils,41.0696,1.0536,150,0
SH012,Matadero de Amposta,40.7091,0.5781,170,0
SH013,Escorxador de La Seu d'Urgell,42.3586,1.4586,140,0
SH014,Matadero de Puigcerdà,42.4311,1.9275,130,0
SH015,Escorxador de Palafrugell,41.9181,3.1631,120,0
