vehicle_id,type,capacity_tons,max_hours_per_week,fixed_weekly_cost,status,fuel_efficiency
TR001,normal,20.0,40,2000.0,available,8.5
TR002,pequeño,10.0,40,2000.0,available,10.2
TR003,normal,20.0,40,2000.0,available,8.8
TR004,pequeño,10.0,40,2000.0,available,9.8
TR005,normal,20.0,40,2000.0,available,8.3
TR006,pequeño,10.0,40,2000.0,available,10.5
TR007,normal,20.0,40,2000.0,available,8.6
TR008,pequeño,10.0,40,2000.0,available,9.9
TR009,normal,20.0,40,2000.0,available,8.7
TR010,pequeño,10.0,40,2000.0,available,10.1
TR011,normal,20.0,40,2000.0,available,8.4
TR012,pequeño,10.0,40,2000.0,available,10.3
TR013,normal,20.0,40,2000.0,available,8.9
TR014,pequeño,10.0,40,2000.0,available,9.7
TR015,normal,20.0,40,2000.0,available,8.5
TR016,pequeño,10.0,40,2000.0,available,10.0
TR017,normal,20.0,40,2000.0,available,8.6
TR018,pequeño,10.0,40,2000.0,available,10.4
TR019,normal,20.0,40,2000.0,available,8.8
TR020,pequeño,10.0,40,2000.0,available,9.8
